,long,lat,OBJECTID,Snow,Ice,ID_Map,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
35,515495.87929999985,6893200.3634,37,6.0,81,,-18.714109659194946,-30.34426212310791,-30.35172939300537,-17.289001941680908,1.1796578168869019,0.26451966166496277,0.22309234738349915
36,515482.53519999975,6893179.914999999,38,6.0,78,,-18.019542694091797,-30.32787322998047,-30.115396976470947,-17.839866876602173,1.031921625137329,0.2461450845003128,0.24267742037773132
37,515466.89910000033,6893159.456199999,39,8.0,73,,-16.26900315284729,-29.80611562728882,-29.242093563079834,-16.821306943893433,0.9412108659744263,0.21000081300735474,0.24031111598014832
38,514755.8978000001,6892117.865800001,49,3.0,,,-17.262624502182007,-31.02409601211548,-29.994451999664307,-17.575265169143677,0.968537449836731,0.20670443773269653,0.24050110578536987
39,514763.75770000013,6892131.491599999,50,7.0,,,-17.28809118270874,-30.462093353271484,-29.909417629241943,-17.751985788345337,0.9457366466522217,0.22090448439121246,0.25001221895217896
40,514773.2511999995,6892140.891199999,51,4.0,,,-17.872157096862793,-29.028563499450684,-30.65829038619995,-18.71408224105835,0.9117692112922668,0.2783849239349365,0.2553406357765198
41,514781.02379999985,6892150.617400001,52,3.0,,,-17.54408597946167,-28.429059982299805,-30.67291021347046,-17.46938467025757,1.01918363571167,0.2921387255191803,0.2240697592496872
42,514789.8383999995,6892160.348200002,53,4.0,,,-16.694740056991577,-28.675048351287842,-30.36482572555542,-16.239924430847168,1.0731552839279175,0.2611124515533447,0.19935685396194458
43,514798.0735,6892171.524799999,54,5.0,,,-15.369837284088135,-28.682308197021484,-30.081570148468018,-15.496046543121338,0.993851363658905,0.2174927145242691,0.18658870458602905
44,514807.35639999964,6892181.369199999,55,2.0,,,-15.203737020492554,-27.802257537841797,-29.393932819366455,-15.476049184799194,0.9699690937995911,0.23507097363471985,0.20227926969528198
45,514815.3206000003,6892194.884100001,56,29.0,,,-15.582252740859985,-27.620069980621338,-29.02031421661377,-15.356196165084839,1.0369988679885864,0.2550603449344635,0.20909881591796875
